scientificName	unique_geo
Acmaeoderopsis hulli Knull	7
Acmaeoderopsis junki (ThÃ©ry, 1929)	1
Acmaeoderopsis junki Thery	2
Acmaeoderopsis paravaripilis (Barr, 1972)	1
Acmaeoderopsis rockefelleri Cazier	1
Acmaeops (Acmaeops) proteus Hatch, 1971	7
Acmaeops discoideus (Haldeman, 1847)	1
Acmaeops pratensis Knowlton & Wood, 1950	4
Acmarhachis acutus	1
Acmopolynema Ogloblin, 1946	1
Acnemia spp.	1
Acnemia Winnertz, 1863	13
Acoenonia perissa Pritchard, 1947	1
Acoenonia Pritchard, 1947	1
Acoloithus falsarius	1
Acoloithus falsarius Clemens, 1861	3
Acoloithus novaricus Barnes & McDunnough, 1913	1
Acontia	1
Acontia abdominalis	1
Acontia abdominalis (Grote)	1
Acontia aprica	1
Acontia aprica (Hübner)	4
Acontia aprica (Hübner, 1808)	1
